key,value
Ryzen 5 Pro 4650G with Radeon Graphics,2417
Radeon Eng Sample: 100-000000262-30_Y,2415
GeForce GTX 960A,2410
Ryzen 5 4600G with Radeon Graphics,2408
Radeon RX Vega 11 PRD,2401
Ryzen 7 5800U with Radeon Graphics,2388
Radeon Ryzen 7 7730U,2377
Radeon Ryzen 7 5800U,2362
GeForce GTX 485M,2359
FirePro W6150M,2358
Radeon Pro WX 4150,2345
Ryzen 7 4800U with Radeon Graphics,2343
P106-090,2342
GRID M10-2B,2333
Ryzen 5 5600H with Radeon Graphics,2332
Radeon R9 M470,2330
Radeon Ryzen 7 5825U,2329
GRID M10-1B,2309
Radeon HD 5970,2307
Ryzen 3 PRO 5350GE with Radeon Graphics,2307
Ryzen 5 PRO 4400G with Radeon Graphics,2305
FirePro V7900,2304
Radeon Ryzen 5 7530U,2301
Ryzen 7 PRO 5850U with Radeon Graphics,2298
Radeon RX 550X,2296
Radeon Ryzen 5 4400G,2296
Radeon Ryzen 5 PRO 5650GE,2290
GeForce MX150,2289
Intel UHD Graphics P630,2286
Radeon Ryzen 7 4800U,2283
Ryzen 3 PRO 5350G with Radeon Graphics,2282
FirePro V8800,2280
Radeon Ryzen 7 Microsoft Surface Edition,2274
Radeon HD 6970M,2270
Quadro K3100M,2269
GeForce GTX 460,2268
Videocard Name,"Passmark G3D Mark
(higher is better)"
Radeon R7 250X,2268
Ryzen 5 4600H with Radeon Graphics,2264
Ryzen 7 5700U with Radeon Graphics,2248
Ryzen 3 4300GE with Radeon Graphics,2246
Quadro K620,2239
Radeon HD 5870,2236
GRID P100-1B,2223
Radeon HD 6870,2216
Ryzen 7 Extreme Edition,2215
Radeon Ryzen 7 5700U,2211
FirePro M6100,2206
Radeon Ryzen 7 PRO 4750GE,2205
Ryzen 5 5600U with Radeon Graphics,2188
Ryzen 7 4700G with Radeon Graphics,2186
Radeon HD 7770,2171
Ryzen 3 5300GE with Radeon Graphics,2171
Intel Iris Pro P580,2168
Ryzen 3 Pro 4350G with Radeon Graphics,2159
Radeon Ryzen 5 PRO 5650G,2158
GeForce GTX 745,2151
Radeon Ryzen 3 PRO 7330U,2149
Radeon Ryzen 5 5600GE,2147
Quadro M600M,2145
Radeon RX Vega 11,2126
Radeon Ryzen 5 5625U,2120
Ryzen 5 5560U with Radeon Graphics,2120
Ryzen 7 4800H with Radeon Graphics,2113
Radeon Ryzen 5 5500U,2111
Radeon TM R9 A360,2105
FirePro M5100,2102
Radeon Ryzen 5 Microsoft Surface Edition,2094
Quadro P520,2088
Radeon Vega 8 Ryzen 3 3200G,2076
GeForce GTX 580M,2074
GRID M6-1Q,2069
Radeon RX Vega 11 Ryzen 5 3400G,2069
Radeon Ryzen 5 5600U,2064
GeForce 945M,2063
Quadro 5000M,2059
Radeon Ryzen 7 4700U,2054
